feature	beta_original	beta_scaled	impute_median	scaler_mean	scaler_scale
__intercept__	-2.356125451622968	-0.49296766188009244			
age	0.03447472307215731	0.7100129124933918	47.0	48.17536282830312	20.595173774341845
sex	0.139007816014292	0.06645302594014037	0.0	0.3534876713704615	0.4780524422692034
arrems	0.6635489488997118	0.3023915164678235	0.0	0.2942801185155426	0.4557184770908689
immedr	-0.7864005796413106	-0.3968379265420664	3.0	2.7562396424446343	0.5046256790948327
temp_f	0.05219834183403939	0.05193329728818812	98.0	98.065146888967	0.9949223569841749
pulse	0.012631304632026058	0.22732349154167536	87.0	87.92125746999447	17.996833910988713
resp	0.00230813028890269	0.004477736285919759	18.0	17.48430673429418	1.9399841973602463
sbp	-0.0029365646098522434	-0.06456949262949138	130.0	132.22158388992116	21.98810556146431
dbp	-0.0008142349406752697	-0.011872395384815833	77.0	77.18164013458545	14.581043863052223
spo2	-0.04020878218455602	-0.06957863788372967	99.0	98.72440114498066	1.7304338530912895
pain	0.04403303913904359	0.1589554243347909	5.0	4.486089489278361	3.60991263475718
month	0.0008396344254821898	0.0028834905100444297	6.0	6.511826445035906	3.4342213974712665
day_of_week	0.010174994670516605	0.02040439866817709	3.0	2.9695174006930145	2.0053473568199047
arr_hour_sin	-0.1879592840302228	-0.12222680319071755	-0.32556815445715676	-0.20415154637155214	0.65028340484136
arr_hour_cos	-0.026627955608382863	-0.018886662067402415	-0.35836794954530027	-0.17993410513810632	0.7092794634769717
