n	missing_n	missing_pct	n_nonmissing	mean	sd	median	p25	p75	dataset_id	variable	kind	n_1	pct_1
19913	0	0.0	19913	48.17536282830312	20.595690922674592	47.0	29.0	64.0	MIMIC_IV_ED	age	continuous		
19913	0	0.0	19913						MIMIC_IV_ED	sex	binary_male	7039.0	0.3534876713704615
19913	0	0.0	19913						MIMIC_IV_ED	arrems	binary_ems	5860.0	0.2942801185155426
19913	47	0.002360267162155376	19866	2.755662941709453	0.5050955017096806	3.0	3.0	3.0	MIMIC_IV_ED	immedr	ordinal		
19913	398	0.019986943202932757	19515	98.06647553164233	1.0049984635860438	98.0	97.5	98.6	MIMIC_IV_ED	temp_f	continuous		
19913	159	0.007984733591121378	19754	87.92867267388883	18.069383843985	87.0	75.0	100.0	MIMIC_IV_ED	pulse	continuous		
19913	318	0.015969467182242757	19595	17.475937739219187	1.9545907133707126	18.0	16.0	18.0	MIMIC_IV_ED	resp	continuous		
19913	199	0.009993471601466379	19714	132.2440093334686	22.09822657109603	130.0	117.0	145.0	MIMIC_IV_ED	sbp	continuous		
19913	257	0.01290614171646663	19656	77.18401505901505	14.676415505675072	77.0	68.0	86.0	MIMIC_IV_ED	dbp	continuous		
19913	317	0.01591924873198413	19596	98.71994284547867	1.7440606950115003	99.0	98.0	100.0	MIMIC_IV_ED	spo2	continuous		
19913	942	0.04730578014362477	18971	4.460571398450266	3.696687509837639	5.0	0.0	8.0	MIMIC_IV_ED	pain	continuous		
5071	0	0.0	5071	44.73555511733386	19.544610275242466	41.0	28.0	59.0	NHAMCS_ED_2016_2022_POOLED	age	continuous		
5071	0	0.0	5071						NHAMCS_ED_2016_2022_POOLED	sex	binary_male	1882.0	0.3711299546440544
5071	164	0.03234076119108657	4907						NHAMCS_ED_2016_2022_POOLED	arrems	binary_ems	755.0	0.1538618300387202
5071	1506	0.29698284362058763	3565	3.0457223001402522	0.5285208127032243	3.0	3.0	3.0	NHAMCS_ED_2016_2022_POOLED	immedr	ordinal		
5071	250	0.04929994084007099	4821	98.21227961003942	0.8623153536293494	98.2	97.7	98.6	NHAMCS_ED_2016_2022_POOLED	temp_f	continuous		
5071	245	0.04831394202326957	4826	87.97658516369664	17.82869756356757	87.0	75.0	100.0	NHAMCS_ED_2016_2022_POOLED	pulse	continuous		
5071	223	0.043975547229343326	4848	18.10210396039604	2.3731032967805747	18.0	16.0	20.0	NHAMCS_ED_2016_2022_POOLED	resp	continuous		
5071	172	0.03391835929796884	4899	135.72382118799754	23.46390384396615	133.0	119.0	148.0	NHAMCS_ED_2016_2022_POOLED	sbp	continuous		
5071	176	0.03470715835140998	4895	80.10786516853932	14.733229521854586	80.0	70.0	89.0	NHAMCS_ED_2016_2022_POOLED	dbp	continuous		
5071	242	0.04772234273318872	4829	97.62994408780285	2.725790099457681	98.0	97.0	99.0	NHAMCS_ED_2016_2022_POOLED	spo2	continuous		
5071	1613	0.318083218300138	3458	5.215442452284558	3.586063056072959	6.0	2.0	8.0	NHAMCS_ED_2016_2022_POOLED	pain	continuous		
