feature	beta_original	beta_scaled	impute_median	scaler_mean	scaler_scale
__intercept__	-2.368370301782009	-0.49287806099202247			
age	0.034473769786114855	0.7099932794016909	47.0	48.17536282830312	20.595173774341845
sex	0.13891640925685184	0.06640932871650619	0.0	0.3534876713704615	0.4780524422692034
arrems	0.6637136777510765	0.3024665864491003	0.0	0.2942801185155426	0.4557184770908689
immedr	-0.7863662945800824	-0.3968206254197614	3.0	2.7562396424446343	0.5046256790948327
temp_f	0.0521753992187887	0.05191047116734753	98.0	98.065146888967	0.9949223569841749
pulse	0.012630287982557536	0.22730519507004468	87.0	87.92125746999447	17.996833910988713
resp	0.002299496555725043	0.0044609869799908984	18.0	17.48430673429418	1.9399841973602463
sbp	-0.0029364570107458	-0.06456712672898059	130.0	132.22158388992116	21.98810556146431
dbp	-0.0008158770330261741	-0.011896338805411553	77.0	77.18164013458545	14.581043863052223
spo2	-0.040057955063181334	-0.0693176415269386	99.0	98.72440114498066	1.7304338530912895
pain	0.04401944839073004	0.158906362920738	5.0	4.486089489278361	3.60991263475718
month	0.0008300052054539501	0.00285042163658249	6.0	6.511826445035906	3.4342213974712665
day_of_week	0.010220591923247108	0.020495836998418455	3.0	2.9695174006930145	2.0053473568199047
arr_hour_sin	-0.18781437115314747	-0.12213256875160766	-0.32556815445715676	-0.20415154637155214	0.65028340484136
arr_hour_cos	-0.02662781339139924	-0.018886561195816574	-0.35836794954530027	-0.17993410513810632	0.7092794634769717
